Timestamp,FanIdentity,Fraction,Price
1762501500,P1 (H127-L127),0.5,25550.514733043343
1762505100,P3 (L131-H127),0.875,25499.791103915864
1762505100,P1 (L131-H130),0.875,25489.7510971756
1762508700,P3 (L131-H127),0.875,25491.40208061956
1762746300,P5 (H127-L125),0.5,25563.20627723684
1762746300,P4 (H127-L127),0.5,25564.105420072327
1762746300,P2 (L131-H129),0.875,25551.931388594152
1762746300,P1 (L131-H130),0.75,25585.42135660253
1762749900,P1 (L131-H130),0.75,25575.98315471568
1762753500,P3 (L131-H127),0.75,25628.95151725135
1762757100,P3 (L131-H127),0.75,25622.70350061979
1762760700,P4 (H127-L127),0.5,25582.22633611097
1762760700,P3 (L131-H127),0.75,25616.45548398823
1762764300,P5 (H127-L125),0.5,25583.15791378313
1762764300,P4 (H127-L127),0.5,25586.756565120628
1762764300,P3 (L131-H127),0.75,25610.207467356668
1762832700,P5 (H127-L125),0.5,25591.138568401646
1762832700,P4 (H127-L127),0.5,25595.81702313995
1762832700,P3 (L131-H127),0.75,25597.711434093544
1762832700,P1 (L131-H130),0.75,25519.3539433946
1762501500,P1 (H127-L127),0.5,25550.514733043343
1762505100,P1 (L131-H130),0.875,25489.7510971756
1762505100,P3 (L131-H127),0.875,25499.791103915864
1762508700,P3 (L131-H127),0.875,25491.40208061956
1762746300,P4 (H127-L127),0.5,25564.105420072327
1762746300,P5 (H127-L125),0.5,25563.20627723684
1762746300,P1 (L131-H130),0.75,25585.42135660253
1762746300,P2 (L131-H129),0.875,25551.931388594152
1762749900,P1 (L131-H130),0.75,25575.98315471568
1762501500,P1 (H127-L127),0.5,25550.514733043343
1762505100,P1 (L131-H130),0.875,25489.7510971756
1762505100,P3 (L131-H127),0.875,25499.791103915864
1762508700,P3 (L131-H127),0.875,25491.40208061956
1762746300,P4 (H127-L127),0.5,25564.105420072327
1762746300,P5 (H127-L125),0.5,25563.20627723684
1762746300,P2 (L131-H129),0.875,25551.931388594152
1762746300,P1 (L131-H130),0.75,25585.42135660253
1762749900,P1 (L131-H130),0.75,25575.98315471568
1762753500,P3 (L131-H127),0.75,25628.95151725135
1762757100,P3 (L131-H127),0.75,25622.70350061979
1762760700,P4 (H127-L127),0.5,25582.22633611097
1762760700,P3 (L131-H127),0.75,25616.45548398823
1762501500,P1 (H127-L127),0.5,25550.514733043343
1762505100,P3 (L131-H127),0.875,25499.791103915864
1762505100,P1 (L131-H130),0.875,25489.7510971756
1762508700,P3 (L131-H127),0.875,25491.40208061956
1762746300,P4 (H127-L127),0.5,25564.105420072327
1762746300,P5 (H127-L125),0.5,25563.20627723684
1762746300,P2 (L131-H129),0.875,25551.931388594152
1762746300,P1 (L131-H130),0.75,25585.42135660253
1762749900,P1 (L131-H130),0.75,25575.98315471568
1762753500,P3 (L131-H127),0.75,25628.95151725135
1762757100,P3 (L131-H127),0.75,25622.70350061979
1762760700,P4 (H127-L127),0.5,25582.22633611097
1762760700,P3 (L131-H127),0.75,25616.45548398823
1762764300,P4 (H127-L127),0.5,25586.756565120628
1762764300,P5 (H127-L125),0.5,25583.15791378313
1762764300,P3 (L131-H127),0.75,25610.207467356668
1762832700,P4 (H127-L127),0.5,25595.81702313995
1762832700,P5 (H127-L125),0.5,25591.138568401646
1762832700,P3 (L131-H127),0.75,25597.711434093544
1762832700,P1 (L131-H130),0.75,25519.3539433946
1762836300,P3 (L131-H129),0.875,25454.879260455335
1762836300,P2 (L131-H130),0.75,25509.915741507753
1762836300,P1 (H131-L131),0.75,25464.457019279136
1762501500,P1 (H127-L127),0.5,25550.514733043343
1762505100,P1 (L131-H130),0.875,25489.7510971756
1762505100,P3 (L131-H127),0.875,25499.791103915864
1762508700,P3 (L131-H127),0.875,25491.40208061956
1762746300,P4 (H127-L127),0.5,25564.105420072327
1762746300,P5 (H127-L125),0.5,25563.20627723684
1762746300,P2 (L131-H129),0.875,25551.931388594152
1762746300,P1 (L131-H130),0.75,25585.42135660253
1762501500,P1 (H127-L127),0.5,25550.514733043343
1762505100,P3 (L131-H127),0.875,25499.791103915864
1762505100,P1 (L131-H130),0.875,25489.7510971756
1762508700,P3 (L131-H127),0.875,25491.40208061956
1762746300,P5 (H127-L125),0.5,25563.20627723684
1762746300,P4 (H127-L127),0.5,25564.105420072327
1762746300,P1 (L131-H130),0.75,25585.42135660253
1762746300,P2 (L131-H129),0.875,25551.931388594152
1762749900,P1 (L131-H130),0.75,25575.98315471568
1762501500,P1 (H127-L127),0.5,25550.514733043343
1762505100,P1 (L131-H130),0.875,25489.7510971756
1762505100,P3 (L131-H127),0.875,25499.791103915864
1762508700,P3 (L131-H127),0.875,25491.40208061956
1762746300,P4 (H127-L127),0.5,25564.105420072327
1762746300,P5 (H127-L125),0.5,25563.20627723684
1762746300,P1 (L131-H130),0.75,25585.42135660253
1762746300,P2 (L131-H129),0.875,25551.931388594152
1762749900,P1 (L131-H130),0.75,25575.98315471568
1762753500,P3 (L131-H127),0.75,25628.95151725135
1762757100,P3 (L131-H127),0.75,25622.70350061979
1762760700,P4 (H127-L127),0.5,25582.22633611097
1762760700,P3 (L131-H127),0.75,25616.45548398823
1762764300,P4 (H127-L127),0.5,25586.756565120628
1762764300,P5 (H127-L125),0.5,25583.15791378313
1762764300,P3 (L131-H127),0.75,25610.207467356668
1762832700,P4 (H127-L127),0.5,25595.81702313995
1762832700,P5 (H127-L125),0.5,25591.138568401646
1762832700,P1 (L131-H130),0.75,25519.3539433946
1762832700,P3 (L131-H127),0.75,25597.711434093544
1762836300,P2 (L131-H130),0.75,25509.915741507753
1762836300,P3 (L131-H129),0.875,25454.879260455335
1762836300,P1 (H131-L131),0.75,25464.457019279136
1762501500,P1 (H127-L127),0.5,25550.514733043343
1762505100,P3 (L131-H127),0.875,25499.791103915864
1762505100,P1 (L131-H130),0.875,25489.7510971756
1762508700,P3 (L131-H127),0.875,25491.40208061956
1762746300,P4 (H127-L127),0.5,25564.105420072327
1762746300,P5 (H127-L125),0.5,25563.20627723684
1762746300,P1 (L131-H130),0.75,25585.42135660253
1762746300,P2 (L131-H129),0.875,25551.931388594152
1762749900,P1 (L131-H130),0.75,25575.98315471568
1762753500,P3 (L131-H127),0.75,25628.95151725135
1762757100,P3 (L131-H127),0.75,25622.70350061979
1762760700,P4 (H127-L127),0.5,25582.22633611097
1762760700,P3 (L131-H127),0.75,25616.45548398823
1762764300,P4 (H127-L127),0.5,25586.756565120628
1762764300,P5 (H127-L125),0.5,25583.15791378313
1762764300,P3 (L131-H127),0.75,25610.207467356668
1762832700,P4 (H127-L127),0.5,25595.81702313995
1762832700,P5 (H127-L125),0.5,25591.138568401646
1762832700,P3 (L131-H127),0.75,25597.711434093544
1762832700,P1 (L131-H130),0.75,25519.3539433946
1762836300,P2 (L131-H130),0.75,25509.915741507753
1762836300,P3 (L131-H129),0.875,25454.879260455335
1762836300,P1 (H131-L131),0.75,25464.457019279136
1762839900,P2 (L131-H130),0.75,25500.477539620908
1762839900,P1 (H131-L131),0.75,25474.17746118941
1762843500,P4 (L131-H127),0.75,25578.967384198862
1762843500,P1 (H131-L131),0.875,25583.877990134904
1762847100,P4 (H127-L127),0.5,25613.93793917859
1762847100,P5 (H127-L125),0.5,25607.099877638677
1762847100,P1 (L131-H130),0.5,25646.44289909652
1762847100,P2 (L131-H129),0.75,25637.086916746364
1762919100,P2 (L131-H127),0.5,25796.30363593515
1762919100,P1 (L131-H129),0.5,25848.918106800942
1762501500,P1 (H127-L126),0.5,25550.514733043343
1762505100,P3 (L130-H127),0.875,25499.791103915864
1762505100,P1 (L130-H130),0.875,25489.7510971756
1762508700,P3 (L130-H127),0.875,25491.40208061956
1762746300,P2 (L130-H129),0.875,25551.931388594152
1762746300,P1 (L130-H130),0.75,25585.42135660253
1762749900,P1 (L130-H130),0.75,25575.98315471568
1762753500,P3 (L130-H127),0.75,25628.95151725135
1762757100,P3 (L130-H127),0.75,25622.70350061979
1762760700,P3 (L130-H127),0.75,25616.45548398823
1762764300,P3 (L130-H127),0.75,25610.207467356668
1762832700,P1 (L130-H130),0.75,25519.3539433946
1762832700,P3 (L130-H127),0.75,25597.711434093544
1762836300,P1 (H131-L130),0.75,25464.457019279136
1762836300,P2 (L130-H130),0.75,25509.915741507753
1762836300,P3 (L130-H129),0.875,25454.879260455335
1762839900,P1 (H131-L130),0.75,25474.17746118941
1762839900,P2 (L130-H130),0.75,25500.477539620908
1762843500,P1 (H131-L130),0.875,25583.877990134904
1762847100,P2 (L130-H129),0.75,25637.086916746364
1762847100,P1 (L130-H130),0.5,25646.44289909652
1762501500,P1 (H127-L126),0.5,25550.514733043343
1762505100,P1 (L130-H130),0.875,25489.7510971756
1762505100,P3 (L130-H127),0.875,25499.791103915864
1762508700,P3 (L130-H127),0.875,25491.40208061956
1762746300,P2 (L130-H129),0.875,25551.931388594152
1762746300,P1 (L130-H130),0.75,25585.42135660253
1762749900,P1 (L130-H130),0.75,25575.98315471568
1762753500,P3 (L130-H127),0.75,25628.95151725135
1762501500,P1 (H127-L126),0.5,25550.514733043343
1762505100,P3 (L130-H127),0.875,25499.791103915864
1762505100,P1 (L130-H130),0.875,25489.7510971756
1762508700,P3 (L130-H127),0.875,25491.40208061956
1762746300,P2 (L130-H129),0.875,25551.931388594152
1762746300,P1 (L130-H130),0.75,25585.42135660253
1762749900,P1 (L130-H130),0.75,25575.98315471568
1762753500,P3 (L130-H127),0.75,25628.95151725135
1762757100,P3 (L130-H127),0.75,25622.70350061979
1762760700,P3 (L130-H127),0.75,25616.45548398823
1762764300,P3 (L130-H127),0.75,25610.207467356668
1762832700,P3 (L130-H127),0.75,25597.711434093544
