=== REPLAY DECISION TRACE LOG ===
Event Type Definitions:
- CROSS_UP: Price opens below/on and closes above the line
- CROSS_DOWN: Price opens above/on and closes below the line
- SUPPORT_TEST: Candle opens and closes above line, but low wick touches/pierces line
- RESISTANCE_TEST: Candle opens and closes below line, but high wick touches/pierces line
- BREACH_CONFIRMED: Price closes beyond max(BEC_close, ZEC_high) for UP, or below min(BEC_close, ZEC_low) for DOWN.
- BREACH_CONFIRMED_NO_ALPHA: Intra-bar multi-cross or next-target-hit. No tradeable alpha.
- SUPPORT_BOUNCE: Price bounces up by threshold % after a SUPPORT_TEST
- RESISTANCE_REJECTION: Price rejects down by threshold % after a RESISTANCE_TEST
- TARGET_HIT: First contact with an angle line in the target progression sequence. Only fires once per line; subsequent contacts are ignored.
=================================================

[RETRO] [Bar 4013] [2025-09-18 11:15] [O:25425.75, H:25434.45, L:25408.45, C:25418.95] [Pattern: SPINNING_TOP] -> [H195-L192] Line 0.5 @ 24852.10 (Distance: 566.85)
[RETRO] [Bar 4013] [2025-09-18 11:15] [O:25425.75, H:25434.45, L:25408.45, C:25418.95] [Pattern: SPINNING_TOP] -> [H195-L192] Line 0.25 @ 24727.23 (Distance: 691.72)
[RETRO] [Bar 4013] [2025-09-18 11:15] [O:25425.75, H:25434.45, L:25408.45, C:25418.95] [Pattern: SPINNING_TOP] -> [H195-L192] Line horizontal @ 24848.42 (Distance: 570.53)
[RETRO] [Bar 4014] [2025-09-18 12:15] [O:25419.70, H:25427.10, L:25347.15, C:25361.95]  -> [No Intersection Detected] -> No Event
[RETRO] [Bar 4014] [2025-09-18 12:15] [O:25419.70, H:25427.10, L:25347.15, C:25361.95]  -> [H195-L190] Line 0.875 @ 25173.26 (Distance: 188.69)
[RETRO] [Bar 4014] [2025-09-18 12:15] [O:25419.70, H:25427.10, L:25347.15, C:25361.95]  -> [H195-L190] Line 0.75 @ 24981.45 (Distance: 380.50)
[RETRO] [Bar 4014] [2025-09-18 12:15] [O:25419.70, H:25427.10, L:25347.15, C:25361.95]  -> [H195-L190] Line 0.5 @ 24730.01 (Distance: 631.94)
[RETRO] [Bar 4014] [2025-09-18 12:15] [O:25419.70, H:25427.10, L:25347.15, C:25361.95]  -> [H195-L190] Line 0.25 @ 24554.48 (Distance: 807.47)
[RETRO] [Bar 4014] [2025-09-18 12:15] [O:25419.70, H:25427.10, L:25347.15, C:25361.95]  -> [H195-L190] Line horizontal @ 24723.18 (Distance: 638.77)
[RETRO] [Bar 4014] [2025-09-18 12:15] [O:25419.70, H:25427.10, L:25347.15, C:25361.95]  -> [H195-L191] Line 0.875 @ 25201.61 (Distance: 160.34)
[RETRO] [Bar 4014] [2025-09-18 12:15] [O:25419.70, H:25427.10, L:25347.15, C:25361.95]  -> [H195-L191] Line 0.75 @ 25030.39 (Distance: 331.56)
[RETRO] [Bar 4014] [2025-09-18 12:15] [O:25419.70, H:25427.10, L:25347.15, C:25361.95]  -> [H195-L191] Line 0.5 @ 24808.43 (Distance: 553.52)
[RETRO] [Bar 4014] [2025-09-18 12:15] [O:25419.70, H:25427.10, L:25347.15, C:25361.95]  -> [H195-L191] Line 0.25 @ 24654.79 (Distance: 707.16)
[RETRO] [Bar 4014] [2025-09-18 12:15] [O:25419.70, H:25427.10, L:25347.15, C:25361.95]  -> [H195-L191] Line horizontal @ 24801.51 (Distance: 560.44)
[RETRO] [Bar 4014] [2025-09-18 12:15] [O:25419.70, H:25427.10, L:25347.15, C:25361.95]  -> [H195-L192] Line 0.875 @ 25205.78 (Distance: 156.17)
[RETRO] [Bar 4014] [2025-09-18 12:15] [O:25419.70, H:25427.10, L:25347.15, C:25361.95]  -> [H195-L192] Line 0.75 @ 25047.91 (Distance: 314.04)
[RETRO] [Bar 4014] [2025-09-18 12:15] [O:25419.70, H:25427.10, L:25347.15, C:25361.95]  -> [H195-L192] Line 0.5 @ 24855.79 (Distance: 506.16)
[RETRO] [Bar 4014] [2025-09-18 12:15] [O:25419.70, H:25427.10, L:25347.15, C:25361.95]  -> [H195-L192] Line 0.25 @ 24728.90 (Distance: 633.05)
[RETRO] [Bar 4014] [2025-09-18 12:15] [O:25419.70, H:25427.10, L:25347.15, C:25361.95]  -> [H195-L192] Line horizontal @ 24848.42 (Distance: 513.53)
[RETRO] [Bar 4015] [2025-09-18 13:15] [O:25361.55, H:25389.30, L:25342.95, C:25365.75] [Pattern: DOJI] -> [No Intersection Detected] -> No Event
[RETRO] [Bar 4015] [2025-09-18 13:15] [O:25361.55, H:25389.30, L:25342.95, C:25365.75] [Pattern: DOJI] -> [H195-L190] Line 0.875 @ 25181.34 (Distance: 184.41)
[RETRO] [Bar 4015] [2025-09-18 13:15] [O:25361.55, H:25389.30, L:25342.95, C:25365.75] [Pattern: DOJI] -> [H195-L190] Line 0.75 @ 24987.51 (Distance: 378.24)
[RETRO] [Bar 4015] [2025-09-18 13:15] [O:25361.55, H:25389.30, L:25342.95, C:25365.75] [Pattern: DOJI] -> [H195-L190] Line 0.5 @ 24733.43 (Distance: 632.32)
[RETRO] [Bar 4015] [2025-09-18 13:15] [O:25361.55, H:25389.30, L:25342.95, C:25365.75] [Pattern: DOJI] -> [H195-L190] Line 0.25 @ 24556.05 (Distance: 809.70)
[RETRO] [Bar 4015] [2025-09-18 13:15] [O:25361.55, H:25389.30, L:25342.95, C:25365.75] [Pattern: DOJI] -> [H195-L190] Line horizontal @ 24723.18 (Distance: 642.57)
[RETRO] [Bar 4015] [2025-09-18 13:15] [O:25361.55, H:25389.30, L:25342.95, C:25365.75] [Pattern: DOJI] -> [H195-L191] Line 0.875 @ 25209.87 (Distance: 155.88)
[RETRO] [Bar 4015] [2025-09-18 13:15] [O:25361.55, H:25389.30, L:25342.95, C:25365.75] [Pattern: DOJI] -> [H195-L191] Line 0.75 @ 25036.55 (Distance: 329.20)
[RETRO] [Bar 4015] [2025-09-18 13:15] [O:25361.55, H:25389.30, L:25342.95, C:25365.75] [Pattern: DOJI] -> [H195-L191] Line 0.5 @ 24811.89 (Distance: 553.86)
[RETRO] [Bar 4015] [2025-09-18 13:15] [O:25361.55, H:25389.30, L:25342.95, C:25365.75] [Pattern: DOJI] -> [H195-L191] Line 0.25 @ 24656.38 (Distance: 709.37)
[RETRO] [Bar 4015] [2025-09-18 13:15] [O:25361.55, H:25389.30, L:25342.95, C:25365.75] [Pattern: DOJI] -> [H195-L191] Line horizontal @ 24801.51 (Distance: 564.24)
[RETRO] [Bar 4015] [2025-09-18 13:15] [O:25361.55, H:25389.30, L:25342.95, C:25365.75] [Pattern: DOJI] -> [H195-L192] Line 0.875 @ 25215.02 (Distance: 150.73)
[RETRO] [Bar 4015] [2025-09-18 13:15] [O:25361.55, H:25389.30, L:25342.95, C:25365.75] [Pattern: DOJI] -> [H195-L192] Line 0.75 @ 25054.65 (Distance: 311.10)
[RETRO] [Bar 4015] [2025-09-18 13:15] [O:25361.55, H:25389.30, L:25342.95, C:25365.75] [Pattern: DOJI] -> [H195-L192] Line 0.5 @ 24859.48 (Distance: 506.27)
[RETRO] [Bar 4015] [2025-09-18 13:15] [O:25361.55, H:25389.30, L:25342.95, C:25365.75] [Pattern: DOJI] -> [H195-L192] Line 0.25 @ 24730.57 (Distance: 635.18)
[RETRO] [Bar 4015] [2025-09-18 13:15] [O:25361.55, H:25389.30, L:25342.95, C:25365.75] [Pattern: DOJI] -> [H195-L192] Line horizontal @ 24848.42 (Distance: 517.33)
[RETRO] [Bar 4016] [2025-09-18 14:15] [O:25364.75, H:25436.75, L:25330.45, C:25423.05]  -> [No Intersection Detected] -> No Event
[RETRO] [Bar 4016] [2025-09-18 14:15] [O:25364.75, H:25436.75, L:25330.45, C:25423.05]  -> [H195-L190] Line 0.875 @ 25189.42 (Distance: 233.63)
[RETRO] [Bar 4016] [2025-09-18 14:15] [O:25364.75, H:25436.75, L:25330.45, C:25423.05]  -> [H195-L190] Line 0.75 @ 24993.58 (Distance: 429.48)
[RETRO] [Bar 4016] [2025-09-18 14:15] [O:25364.75, H:25436.75, L:25330.45, C:25423.05]  -> [H195-L190] Line 0.5 @ 24736.84 (Distance: 686.21)
[RETRO] [Bar 4016] [2025-09-18 14:15] [O:25364.75, H:25436.75, L:25330.45, C:25423.05]  -> [H195-L190] Line 0.25 @ 24557.62 (Distance: 865.43)
[RETRO] [Bar 4016] [2025-09-18 14:15] [O:25364.75, H:25436.75, L:25330.45, C:25423.05]  -> [H195-L190] Line horizontal @ 24723.18 (Distance: 699.87)
[RETRO] [Bar 4016] [2025-09-18 14:15] [O:25364.75, H:25436.75, L:25330.45, C:25423.05]  -> [H195-L191] Line 0.875 @ 25218.12 (Distance: 204.93)
[RETRO] [Bar 4016] [2025-09-18 14:15] [O:25364.75, H:25436.75, L:25330.45, C:25423.05]  -> [H195-L191] Line 0.75 @ 25042.72 (Distance: 380.33)
[RETRO] [Bar 4016] [2025-09-18 14:15] [O:25364.75, H:25436.75, L:25330.45, C:25423.05]  -> [H195-L191] Line 0.5 @ 24815.35 (Distance: 607.70)
[RETRO] [Bar 4016] [2025-09-18 14:15] [O:25364.75, H:25436.75, L:25330.45, C:25423.05]  -> [H195-L191] Line 0.25 @ 24657.96 (Distance: 765.09)
[RETRO] [Bar 4016] [2025-09-18 14:15] [O:25364.75, H:25436.75, L:25330.45, C:25423.05]  -> [H195-L191] Line horizontal @ 24801.51 (Distance: 621.54)
[RETRO] [Bar 4016] [2025-09-18 14:15] [O:25364.75, H:25436.75, L:25330.45, C:25423.05]  -> [H195-L192] Line 0.875 @ 25224.26 (Distance: 198.79)
[RETRO] [Bar 4016] [2025-09-18 14:15] [O:25364.75, H:25436.75, L:25330.45, C:25423.05]  -> [H195-L192] Line 0.75 @ 25061.38 (Distance: 361.67)
[RETRO] [Bar 4016] [2025-09-18 14:15] [O:25364.75, H:25436.75, L:25330.45, C:25423.05]  -> [H195-L192] Line 0.5 @ 24863.16 (Distance: 559.89)
[RETRO] [Bar 4016] [2025-09-18 14:15] [O:25364.75, H:25436.75, L:25330.45, C:25423.05]  -> [H195-L192] Line 0.25 @ 24732.24 (Distance: 690.81)
[RETRO] [Bar 4016] [2025-09-18 14:15] [O:25364.75, H:25436.75, L:25330.45, C:25423.05]  -> [H195-L192] Line horizontal @ 24848.42 (Distance: 574.63)
[RETRO] [Bar 4017] [2025-09-18 15:15] [O:25423.00, H:25436.10, L:25415.25, C:25420.75] [Pattern: SPINNING_TOP] -> [No Intersection Detected] -> No Event
[RETRO] [Bar 4017] [2025-09-18 15:15] [O:25423.00, H:25436.10, L:25415.25, C:25420.75] [Pattern: SPINNING_TOP] -> [H195-L190] Line 0.875 @ 25197.51 (Distance: 223.24)
[RETRO] [Bar 4017] [2025-09-18 15:15] [O:25423.00, H:25436.10, L:25415.25, C:25420.75] [Pattern: SPINNING_TOP] -> [H195-L190] Line 0.75 @ 24999.64 (Distance: 421.11)
[RETRO] [Bar 4017] [2025-09-18 15:15] [O:25423.00, H:25436.10, L:25415.25, C:25420.75] [Pattern: SPINNING_TOP] -> [H195-L190] Line 0.5 @ 24740.26 (Distance: 680.49)
[RETRO] [Bar 4017] [2025-09-18 15:15] [O:25423.00, H:25436.10, L:25415.25, C:25420.75] [Pattern: SPINNING_TOP] -> [H195-L190] Line 0.25 @ 24559.19 (Distance: 861.56)
[RETRO] [Bar 4017] [2025-09-18 15:15] [O:25423.00, H:25436.10, L:25415.25, C:25420.75] [Pattern: SPINNING_TOP] -> [H195-L190] Line horizontal @ 24723.18 (Distance: 697.57)
[RETRO] [Bar 4017] [2025-09-18 15:15] [O:25423.00, H:25436.10, L:25415.25, C:25420.75] [Pattern: SPINNING_TOP] -> [H195-L191] Line 0.875 @ 25226.37 (Distance: 194.38)
[RETRO] [Bar 4017] [2025-09-18 15:15] [O:25423.00, H:25436.10, L:25415.25, C:25420.75] [Pattern: SPINNING_TOP] -> [H195-L191] Line 0.75 @ 25048.89 (Distance: 371.86)
[RETRO] [Bar 4017] [2025-09-18 15:15] [O:25423.00, H:25436.10, L:25415.25, C:25420.75] [Pattern: SPINNING_TOP] -> [H195-L191] Line 0.5 @ 24818.81 (Distance: 601.94)
[RETRO] [Bar 4017] [2025-09-18 15:15] [O:25423.00, H:25436.10, L:25415.25, C:25420.75] [Pattern: SPINNING_TOP] -> [H195-L191] Line 0.25 @ 24659.55 (Distance: 761.20)
[RETRO] [Bar 4017] [2025-09-18 15:15] [O:25423.00, H:25436.10, L:25415.25, C:25420.75] [Pattern: SPINNING_TOP] -> [H195-L191] Line horizontal @ 24801.51 (Distance: 619.24)
[RETRO] [Bar 4017] [2025-09-18 15:15] [O:25423.00, H:25436.10, L:25415.25, C:25420.75] [Pattern: SPINNING_TOP] -> [H195-L192] Line 0.875 @ 25233.50 (Distance: 187.25)
[RETRO] [Bar 4017] [2025-09-18 15:15] [O:25423.00, H:25436.10, L:25415.25, C:25420.75] [Pattern: SPINNING_TOP] -> [H195-L192] Line 0.75 @ 25068.12 (Distance: 352.63)
[RETRO] [Bar 4017] [2025-09-18 15:15] [O:25423.00, H:25436.10, L:25415.25, C:25420.75] [Pattern: SPINNING_TOP] -> [H195-L192] Line 0.5 @ 24866.85 (Distance: 553.90)
[RETRO] [Bar 4017] [2025-09-18 15:15] [O:25423.00, H:25436.10, L:25415.25, C:25420.75] [Pattern: SPINNING_TOP] -> [H195-L192] Line 0.25 @ 24733.92 (Distance: 686.83)
[RETRO] [Bar 4017] [2025-09-18 15:15] [O:25423.00, H:25436.10, L:25415.25, C:25420.75] [Pattern: SPINNING_TOP] -> [H195-L192] Line horizontal @ 24848.42 (Distance: 572.33)
[RETRO] [Bar 4018] [2025-09-19 09:15] [O:25424.65, H:25424.65, L:25297.45, C:25324.45]  -> [No Intersection Detected] -> No Event
[RETRO] [Bar 4018] [2025-09-19 09:15] [O:25424.65, H:25424.65, L:25297.45, C:25324.45]  -> [H195-L190] Line 0.875 @ 25205.59 (Distance: 118.86)
[RETRO] [Bar 4018] [2025-09-19 09:15] [O:25424.65, H:25424.65, L:25297.45, C:25324.45]  -> [H195-L190] Line 0.75 @ 25005.70 (Distance: 318.75)
[RETRO] [Bar 4018] [2025-09-19 09:15] [O:25424.65, H:25424.65, L:25297.45, C:25324.45]  -> [H195-L190] Line 0.5 @ 24743.68 (Distance: 580.77)
