open,high,low,close,volume,timestamp
24818.55078125,24868.599609375,24785.150390625,24791.6,0.0,1766497020
24791.8,24791.8,24759.0,24781.45,0.0,1766497080
24781.9,24826.2,24776.3,24816.3,0.0,1766497140
24817.2,24818.95,24774.75,24780.5,0.0,1766497200
24780.25,24808.25,24771.05,24794.95,0.0,1766497260
24794.95,24803.8,24784.0,24800.35,0.0,1766497320
24800.8,24805.7,24777.95,24781.45,0.0,1766497380
24781.35,24785.7,24763.5,24768.6,0.0,1766497440
24769.5,24769.5,24751.0,24763.7,0.0,1766497500
24763.7,24767.45,24741.900390625,24751.25,0.0,1766497560
24751.35,24780.85,24737.55078125,24771.2,0.0,1766497620
24770.55,24775.15,24749.05,24764.3,0.0,1766497680
24764.4,24782.1,24754.2,24765.65,0.0,1766497740
24766.45,24776.15,24753.3,24774.2,0.0,1766497800
24772.75,24795.3,24770.45,24774.4,0.0,1766497860
24773.4,24788.0,24756.9,24758.75,0.0,1766497920
24759.1,24760.5,24732.400390625,24735.45,0.0,1766497980
24735.65,24737.5,24703.349609375,24713.1,0.0,1766498040
24712.3,24725.15,24659.5,24667.4,0.0,1766498100
24667.3,24669.85,24638.400390625,24663.55,0.0,1766498160
24663.95,24663.95,24629.44921875,24645.75,0.0,1766498220
24645.7,24668.1,24635.8,24661.1,0.0,1766498280
24661.5,24674.65,24630.35,24650.6,0.0,1766498340
24648.9,24660.85,24634.8,24644.5,0.0,1766498400
24644.6,24674.55,24643.6,24673.1,0.0,1766498460
24728.55078125,24743.75,24668.150390625,24712.1,0.0,1766498520
24712.9,24752.19921875,24704.2,24750.8,0.0,1766498580
24750.75,24765.349609375,24735.0,24758.1,0.0,1766498640
24758.0,24767.5,24742.1,24758.4,0.0,1766498700
24760.35,24791.30078125,24756.7,24771.5,0.0,1766498760
24771.75,24775.65,24749.7,24763.25,0.0,1766498820
24763.0,24766.9,24725.1,24744.3,0.0,1766498880
24743.95,24764.4,24737.7,24740.45,0.0,1766498940
24741.2,24742.65,24732.25,24734.15,0.0,1766499000
24734.1,24735.3,24654.349609375,24672.25,0.0,1766499060
24672.25,24676.15,24643.5,24665.85,0.0,1766499120
24665.9,24668.0,24633.19921875,24641.7,0.0,1766499180
24642.15,24667.75,24639.1,24658.55,0.0,1766499240
24658.1,24659.7,24609.75,24613.5,0.0,1766499300
24614.4,24645.25,24606.19921875,24640.05,0.0,1766499360
24640.4,24688.75,24630.9,24687.05,0.0,1766499420
24686.75,24705.3,24656.8,24701.35,0.0,1766499480
24700.6,24720.25,24673.25,24689.5,0.0,1766499540
